id,clientId,createdAt,market,side,size,type,filledSize,size,avgFillPrice,price,status,ioc,postOnly,reduceOnly
4960770011,,2022-05-09T13:07:55.650480+00:00,UNI/USD,buy,3.3,limit,0,3.3,,5.28,closed,false,false,false
4960769888,,2022-05-09T13:07:55.374683+00:00,UNI/USD,buy,2.4,limit,0,2.4,,5.806,closed,false,false,false
4960768639,,2022-05-09T13:07:51.547148+00:00,TRX/USD,buy,436,limit,0,436,,0.06305,closed,false,false,false
4960763266,,2022-05-09T13:07:42.851761+00:00,AAVE/USD,buy,0.23,limit,0,0.23,,91.61,closed,false,false,false
4960763183,,2022-05-09T13:07:42.606738+00:00,AAVE/USD,buy,0.16,limit,0,0.16,,100.74,closed,false,false,false
4960575424,,2022-05-09T12:58:04.900789+00:00,TRX/USD,buy,305,limit,0,305,,0.069335,closed,false,false,false
4958963486,,2022-05-09T11:29:05.057533+00:00,GRT/USD,buy,61,limit,0,61,,0.25745,closed,false,false,false
4958815436,,2022-05-09T11:22:42.672948+00:00,TRX/USD,buy,220,limit,0,220,,0.07417,closed,false,false,false
4958591364,,2022-05-09T11:11:36.653462+00:00,TRX/USD,sell,592,market,592,592,0.08146,,closed,true,false,false
4958288764,,2022-05-09T11:00:03.257401+00:00,ETH/USD,buy,0.004,market,0.004,0.004,2377.8,,closed,true,false,false
4958126961,,2022-05-09T10:55:07.453818+00:00,AAVE/USD,buy,0.12,limit,0,0.12,,107.77,closed,false,false,false
4957914710,,2022-05-09T10:48:42.484513+00:00,ALGO/USD,sell,31,market,31,31,0.6646,,closed,true,false,false
4957465032,,2022-05-09T10:34:06.943901+00:00,TRX/USD,buy,248,limit,248,248,0.0834525,0.0834525,closed,false,false,false
4957461319,,2022-05-09T10:34:00.947659+00:00,UNI/USD,buy,1.7,limit,0,1.7,,6.211,closed,false,false,false
4956518451,,2022-05-09T09:45:21.809906+00:00,TRX/USD,buy,189,limit,189,189,0.08441,0.08441,closed,false,false,false
4956516239,,2022-05-09T09:45:02.245017+00:00,TRX/USD,buy,156,limit,156,156,0.08544,0.08544,closed,false,false,false
4953225212,,2022-05-09T06:16:15.721817+00:00,TRX/USD,buy,161,limit,161,161,0.07789,0.07789,closed,false,false,false
4953027193,,2022-05-09T06:07:44.812893+00:00,AAVE/USD,buy,0.09,limit,0,0.09,,113.17,closed,false,false,false
4950862504,,2022-05-09T03:17:59.185700+00:00,SUSHI/USD,buy,10.5,market,10.5,10.5,2.0882,,closed,true,false,false
4950797304,,2022-05-09T03:15:14.027491+00:00,AAVE/USD,buy,0.07,limit,0.07,0.07,117.33,117.33,closed,false,false,false
4950797220,,2022-05-09T03:15:13.842344+00:00,AAVE/USD,buy,0.05,limit,0.05,0.05,120.53,120.53,closed,false,false,false
4950794642,,2022-05-09T03:15:07.227475+00:00,AAVE/USD,buy,0.16,limit,0.16,0.16,122.87,122.87,closed,false,false,false
4950597898,,2022-05-09T03:06:20.518130+00:00,AAVE/USD,buy,0.28,market,0.28,0.28,121.99,,closed,true,false,false
4950584595,,2022-05-09T03:05:48.145443+00:00,TRX/USD,buy,120,limit,120,120,0.0807525,0.0807525,closed,false,false,false
4950584564,,2022-05-09T03:05:47.956800+00:00,TRX/USD,buy,90,limit,90,90,0.0829525,0.0829525,closed,false,false,false
4950581877,,2022-05-09T03:05:41.074930+00:00,TRX/USD,buy,293,limit,293,293,0.0844775,0.0844775,closed,false,false,false
4949644590,,2022-05-09T02:28:12.102079+00:00,UNI/USD,buy,1.3,limit,0,1.3,,6.523,closed,false,false,false
4947640931,,2022-05-08T23:50:40.957573+00:00,AAVE/USD,buy,0.09,limit,0,0.09,,114.92,closed,false,false,false
4942406484,,2022-05-08T17:07:34.583319+00:00,GRT/USD,buy,46,limit,46,46,0.27765,0.27765,closed,false,false,false
4940271207,,2022-05-08T14:38:10.254344+00:00,TRX/USD,sell,221,limit,221,221,0.088615,0.088615,closed,false,false,false
4939847737,,2022-05-08T14:13:15.271271+00:00,AAVE/USD,sell,0.08,limit,0,0.08,,133.71,closed,false,false,false
4939505912,,2022-05-08T13:58:07.729506+00:00,AAVE/USD,buy,0.07,limit,0,0.07,,120.68,closed,false,false,false
4939095855,,2022-05-08T13:26:22.098834+00:00,GRT/USD,buy,144,market,144,144,0.3012,,closed,true,false,false
4937795453,,2022-05-08T11:37:15.637534+00:00,GRT/USD,sell,142,limit,142,142,0.30475,0.30475,closed,false,false,false
4937639115,,2022-05-08T11:23:29.564754+00:00,GRT/USD,buy,35,limit,35,35,0.29385,0.29385,closed,false,false,false
4937639010,,2022-05-08T11:23:28.818447+00:00,GRT/USD,buy,49,limit,49,49,0.3062,0.3062,closed,false,false,false
4936229737,,2022-05-08T09:12:23.346579+00:00,AAVE/USD,sell,0.06,limit,0.06,0.06,132.01,132.01,closed,false,false,false
4936226583,,2022-05-08T09:12:07.428638+00:00,AAVE/USD,sell,0.2,limit,0.2,0.2,130.83,130.83,closed,false,false,false
4936146787,,2022-05-08T09:05:24.582375+00:00,SUSHI/USD,sell,2.5,limit,2.5,2.5,2.17,2.17,closed,false,false,false
4936144921,,2022-05-08T09:05:07.530452+00:00,SUSHI/USD,sell,7.5,limit,7.5,7.5,2.1475,2.1473,closed,false,false,false
4936062212,,2022-05-08T08:55:23.536497+00:00,TRX/USD,sell,170,limit,170,170,0.0850825,0.0850825,closed,false,false,false
4936060496,,2022-05-08T08:55:15.586123+00:00,TRX/USD,sell,598,limit,598,598,0.0825275,0.0825275,closed,false,false,false
4935912079,,2022-05-08T08:40:24.612405+00:00,UNI/USD,buy,0.9,limit,0.9,0.9,6.763,6.763,closed,false,false,false
4935911569,,2022-05-08T08:40:24.069692+00:00,UNI/USD,buy,0.7,limit,0.7,0.7,6.947,6.947,closed,false,false,false
4935909597,,2022-05-08T08:40:16.631563+00:00,UNI/USD,buy,2.3,limit,2.3,2.3,7.075,7.075,closed,false,false,false
